Preprocessing Method,Num of Features,Encoding Method,Convolutional Layer Architecture,Num of Params,Pooling Architecture,Num of Params,Convs per Layer,Special Pooling,Pooling Direction,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Confusion Matrix
PCA,8,Angle Embedding,6,6,3,2,2,No,Top half,tensor(0.7159),0.8675995694294941,0.7964426877470355,0.8304997424008244,0.47698846716118903,0.8688862517901584,"[[23, 123], [206, 806]]"
PCA,8,Angle Embedding,6,6,3,2,2,No,Top half,tensor(0.7314),0.8677859391395593,0.817193675889328,0.8417302798982188,0.4770899886295955,0.8689073852901837,"[[20, 126], [185, 827]]"
PCA,8,Angle Embedding,6,6,3,2,2,No,Top half,tensor(0.7453),0.8699690402476781,0.8330039525691699,0.851085310449268,0.48499512696951647,0.8706289272047535,"[[20, 126], [169, 843]]"
PCA,8,Angle Embedding,7,6,1,3,1,No,Top half,tensor(0.6744),0.8670520231213873,0.741106719367589,0.7991475759190196,0.4767177432454383,0.8688302392711681,"[[31, 115], [262, 750]]"
PCA,8,Angle Embedding,7,6,1,3,1,No,Top half,tensor(0.7185),0.8688172043010752,0.7984189723320159,0.8321318228630278,0.48140126698792574,0.8698459425112478,"[[24, 122], [204, 808]]"
PCA,8,Angle Embedding,7,6,1,3,1,No,Top half,tensor(0.7306),0.869198312236287,0.8142292490118577,0.8408163265306122,0.4824570902593535,0.8700755663893103,"[[22, 124], [188, 824]]"
PCA,8,Angle Embedding,7,6,1,3,2,No,Top half,tensor(0.7573),0.8688193743693239,0.8507905138339921,0.8597104343484773,0.4801897774649413,0.8695805185634579,"[[16, 130], [151, 861]]"
PCA,8,Angle Embedding,7,6,1,3,2,No,Top half,tensor(0.7565),0.8686868686868687,0.849802371541502,0.8591408591408591,0.4796957063186962,0.869472955610292,"[[16, 130], [152, 860]]"
PCA,8,Angle Embedding,7,6,1,3,2,No,Top half,tensor(0.7625),0.8703517587939699,0.8557312252964426,0.8629795714997508,0.4860847907304131,0.8708666243146485,"[[17, 129], [146, 866]]"
PCA,8,Angle Embedding,7,6,2,9,1,No,Top half,tensor(0.7323),0.8663883089770354,0.8201581027667985,0.8426395939086294,0.4717228869998376,0.8677429219744652,"[[18, 128], [182, 830]]"
PCA,8,Angle Embedding,7,6,2,9,1,No,Top half,tensor(0.7573),0.8695652173913043,0.849802371541502,0.8595702148925538,0.48312036385294277,0.8702193784223619,"[[17, 129], [152, 860]]"
PCA,8,Angle Embedding,7,6,2,9,1,No,Top half,tensor(0.7617),0.8702213279678068,0.8547430830039525,0.8624127617148555,0.48559071958416805,0.870758665944344,"[[17, 129], [147, 865]]"
PCA,8,Angle Embedding,7,6,2,9,2,No,Top half,tensor(0.7349),0.8668054110301769,0.8231225296442688,0.8443993917891536,0.4732051004385728,0.8680639192858949,"[[18, 128], [179, 833]]"
PCA,8,Angle Embedding,7,6,2,9,2,No,Top half,tensor(0.7427),0.868801652892562,0.8310276679841897,0.8494949494949494,0.48058232714277976,0.8696666053264985,"[[19, 127], [171, 841]]"
PCA,8,Angle Embedding,7,6,2,9,2,No,Top half,tensor(0.7470),0.8687179487179487,0.8369565217391305,0.852541519879215,0.4801220964860036,0.869566199363451,"[[18, 128], [165, 847]]"
PCA,8,Angle Embedding,7,6,3,2,1,No,Top half,tensor(0.6908),0.8657718120805369,0.7648221343873518,0.8121720881427072,0.4714521630840869,0.8676882155014511,"[[26, 120], [238, 774]]"
PCA,8,Angle Embedding,7,6,3,2,1,No,Top half,tensor(0.7547),0.8706720977596741,0.8448616600790514,0.8575727181544635,0.4874993231902106,0.8711760576628607,"[[19, 127], [157, 855]]"
PCA,8,Angle Embedding,7,6,3,2,1,No,Top half,tensor(0.7565),0.8686868686868687,0.849802371541502,0.8591408591408591,0.4796957063186962,0.869472955610292,"[[16, 130], [152, 860]]"
PCA,8,Angle Embedding,7,6,3,2,2,No,Top half,tensor(0.7176),0.8639744952178533,0.8033596837944664,0.8325652841781874,0.4633236775136716,0.8659302911016241,"[[18, 128], [199, 813]]"
PCA,8,Angle Embedding,7,6,3,2,2,No,Top half,tensor(0.7556),0.8708036622583927,0.8458498023715415,0.8581453634085213,0.4879933943364556,0.8712841315324118,"[[19, 127], [156, 856]]"
PCA,8,Angle Embedding,7,6,3,2,2,No,Top half,tensor(0.7625),0.8710976837865055,0.8547430830039525,0.8628428927680798,0.4890153771184147,0.871507725018627,"[[18, 128], [147, 865]]"
PCA,8,Angle Embedding,8,6,1,3,1,No,Top half,tensor(0.7522),0.8687690742624619,0.8438735177865613,0.8561403508771931,0.48015593697547243,0.8695733564655268,"[[17, 129], [158, 854]]"
PCA,8,Angle Embedding,8,6,1,3,1,No,Top half,tensor(0.7556),0.8685540950455005,0.8488142292490118,0.8585707146426786,0.4792016351724511,0.8693654270787258,"[[16, 130], [153, 859]]"
